scenario_id,malicious_count,malicious_fraction,poison_fraction,trigger_strength,seed,fedavg_clean_accuracy,fedavg_asr,defended_clean_accuracy,defended_asr,remediation_clean_accuracy,remediation_asr,guard_detection_rate,remediation_accepted,elapsed_seconds
m1-p08-t4-s7,1,0.08333333333333333,0.08,4.0,7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,True,0.0832791820000125
m1-p08-t4-s42,1,0.08333333333333333,0.08,4.0,42,1.0,0.26459143968871596,1.0,0.0,1.0,0.0,0.0,True,0.07551034800002299
m1-p08-t7-s7,1,0.08333333333333333,0.08,7.0,7,1.0,0.0036363636363636364,1.0,0.0036363636363636364,1.0,0.0,0.0,True,0.07478272399998787
m1-p08-t7-s42,1,0.08333333333333333,0.08,7.0,42,1.0,0.5758754863813229,1.0,0.0,1.0,0.0,0.0,True,0.07455291500002659
m1-p20-t4-s7,1,0.08333333333333333,0.2,4.0,7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,True,0.07264599600000565
m1-p20-t4-s42,1,0.08333333333333333,0.2,4.0,42,1.0,0.5369649805447471,1.0,0.0,1.0,0.0,0.0,True,0.07359774399998287
m1-p20-t7-s7,1,0.08333333333333333,0.2,7.0,7,1.0,0.03272727272727273,1.0,0.0036363636363636364,1.0,0.0,0.0,True,0.07461013199997524
m1-p20-t7-s42,1,0.08333333333333333,0.2,7.0,42,1.0,0.8287937743190662,1.0,0.0,1.0,0.0,0.0,True,0.07414459299997134
m3-p08-t4-s7,3,0.25,0.08,4.0,7,1.0,0.0,1.0,0.0,1.0,0.0,0.375,True,0.07831617400000823
m3-p08-t4-s42,3,0.25,0.08,4.0,42,1.0,0.46303501945525294,1.0,0.0,1.0,0.0,0.625,True,0.07762339700002485
m3-p08-t7-s7,3,0.25,0.08,7.0,7,1.0,0.014545454545454545,1.0,0.014545454545454545,1.0,0.0,0.75,True,0.07671229800001811
m3-p08-t7-s42,3,0.25,0.08,7.0,42,1.0,0.7626459143968871,1.0,0.023346303501945526,1.0,0.0,0.875,True,0.07880833699999812
m3-p20-t4-s7,3,0.25,0.2,4.0,7,1.0,0.0036363636363636364,1.0,0.0,1.0,0.0,0.375,True,0.07758630000000721
m3-p20-t4-s42,3,0.25,0.2,4.0,42,1.0,0.7003891050583657,1.0,0.0,1.0,0.0,0.75,True,0.08021674999997686
m3-p20-t7-s7,3,0.25,0.2,7.0,7,1.0,0.1890909090909091,1.0,0.08727272727272728,1.0,0.0,0.75,True,0.08296568700001217
m3-p20-t7-s42,3,0.25,0.2,7.0,42,1.0,0.9455252918287937,1.0,0.08949416342412451,1.0,0.0,0.875,True,0.07847105899998041
m5-p08-t4-s7,5,0.4166666666666667,0.08,4.0,7,1.0,0.38545454545454544,1.0,0.007272727272727273,1.0,0.0,0.875,True,0.08214495100003205
m5-p08-t4-s42,5,0.4166666666666667,0.08,4.0,42,1.0,0.49416342412451364,1.0,0.019455252918287938,1.0,0.0,0.625,True,0.08480110099998228
m5-p08-t7-s7,5,0.4166666666666667,0.08,7.0,7,1.0,0.8581818181818182,1.0,0.26545454545454544,1.0,0.0,0.875,True,0.07984196099999963
m5-p08-t7-s42,5,0.4166666666666667,0.08,7.0,42,1.0,0.8015564202334631,1.0,0.0933852140077821,1.0,0.0,0.875,True,0.07967788700000256
m5-p20-t4-s7,5,0.4166666666666667,0.2,4.0,7,1.0,0.7709090909090909,1.0,0.28,1.0,0.0,0.875,True,0.07911873199998354
m5-p20-t4-s42,5,0.4166666666666667,0.2,4.0,42,1.0,0.7470817120622568,1.0,0.17898832684824903,1.0,0.0,0.625,True,0.08086594000002378
m5-p20-t7-s7,5,0.4166666666666667,0.2,7.0,7,1.0,0.9927272727272727,1.0,0.56,1.0,0.0,0.875,True,0.08210382199996502
m5-p20-t7-s42,5,0.4166666666666667,0.2,7.0,42,1.0,0.9727626459143969,1.0,0.9416342412451362,1.0,0.0,0.5,True,0.08164546000000428
